x=652, y=891..904
x=570, y=1112..1122
y=736, x=626..628
x=487, y=1410..1419
x=655, y=1170..1172
y=1385, x=663..667
y=891, x=700..718
x=737, y=730..735
x=605, y=1853..1867
x=622, y=1115..1117
x=628, y=1109..1120
x=536, y=209..219
x=730, y=1633..1637
y=1349, x=611..679
x=735, y=1330..1341
x=506, y=1895..1905
x=639, y=379..390
y=1905, x=492..506
x=525, y=197..225
y=18, x=457..463
x=536, y=300..302
y=1584, x=483..486
x=494, y=398..419
y=1357, x=588..590
x=618, y=136..155
y=1673, x=716..718
x=761, y=76..95
x=437, y=1103..1120
x=538, y=1803..1807
y=855, x=685..692
y=229, x=464..480
y=1745, x=737..739
x=679, y=1170..1189
x=685, y=36..60
x=610, y=1115..1117
x=456, y=1556..1568
x=646, y=1273..1282
x=598, y=59..65
x=748, y=1670..1679
x=529, y=1798..1810
x=695, y=764..774
x=630, y=870..895
y=240, x=532..541
y=1216, x=734..736
x=462, y=538..547
y=616, x=479..489
x=769, y=285..308
x=461, y=1758..1764
y=1620, x=713..731
x=493, y=445..460
x=618, y=1445..1455
x=666, y=309..331
y=1287, x=613..616
y=764, x=481..507
x=737, y=1867..1871
x=454, y=1753..1778
x=506, y=941..943
x=585, y=996..1004
x=641, y=1009..1012
y=480, x=460..465
y=1495, x=679..704
x=590, y=1820..1846
x=486, y=1345..1366
x=620, y=364..371
x=790, y=1105..1127
y=1198, x=769..774
y=1445, x=449..472
x=645, y=1254..1259
x=626, y=1186..1198
x=512, y=566..568
y=310, x=589..607
x=612, y=485..497
y=1309, x=713..727
x=461, y=1117..1142
y=472, x=637..640
y=240, x=684..712
x=684, y=785..794
y=1169, x=551..569
x=483, y=1649..1653
y=1142, x=449..461
x=589, y=1653..1681
x=487, y=510..521
x=709, y=311..336
x=632, y=1738..1743
x=628, y=722..736
x=455, y=1162..1182
x=760, y=614..626
x=477, y=1388..1416
x=746, y=1588..1598
x=594, y=1880..1906
x=747, y=438..465
x=659, y=291..295
x=505, y=1100..1103
y=1521, x=573..594
x=664, y=1858..1872
y=1034, x=732..739
y=1580, x=746..750
x=770, y=611..635
x=595, y=505..518
y=120, x=610..628
x=595, y=1667..1689
x=493, y=710..729
x=598, y=1874..1896
y=1025, x=661..663
x=564, y=1628..1644
y=71, x=731..758
x=526, y=55..68
x=732, y=1818..1831
y=1803, x=535..538
y=1482, x=713..715
x=546, y=294..306
x=556, y=821..838
x=541, y=321..326
x=666, y=979..990
x=461, y=1161..1182
y=87, x=524..528
y=586, x=518..520
x=685, y=73..88
x=538, y=1458..1462
x=479, y=608..616
x=446, y=1104..1120
x=660, y=1857..1872
x=775, y=1045..1055
y=873, x=494..496
x=646, y=5..26
x=511, y=723..727
x=696, y=1677..1693
x=668, y=1891..1904
x=573, y=151..153
x=700, y=789..791
y=147, x=446..457
x=468, y=1514..1516
x=579, y=1079..1091
x=493, y=1664..1670
x=757, y=899..921
y=1567, x=503..513
x=769, y=715..729
y=774, x=679..695
y=534, x=708..711
x=715, y=922..924
x=573, y=856..863
x=476, y=1738..1748
x=596, y=1525..1538
y=1547, x=520..545
y=336, x=688..709
x=757, y=270..298
x=748, y=1778..1789
x=597, y=220..223
x=543, y=1881..1902
x=696, y=1117..1129
x=633, y=1206..1219
x=720, y=856..874
y=1219, x=633..652
x=517, y=78..90
y=326, x=541..554
x=687, y=911..918
y=1520, x=455..474
x=547, y=278..282
x=437, y=721..728
x=716, y=1673..1679
x=756, y=1574..1578
x=536, y=804..807
y=1515, x=582..588
x=524, y=1376..1398
x=570, y=968..973
x=584, y=1729..1743
y=1119, x=588..591
x=542, y=1412..1439
x=551, y=1680..1697
y=724, x=759..763
x=674, y=865..877
x=761, y=856..870
y=1410, x=647..657
y=1593, x=598..606
x=554, y=595..600
x=547, y=252..266
x=656, y=1252..1265
x=512, y=869..877
x=755, y=585..595
y=1621, x=774..781
x=654, y=403..416
y=1364, x=610..614
x=529, y=208..219
x=447, y=1701..1722
x=708, y=720..731
x=716, y=1504..1515
y=948, x=605..619
x=724, y=264..283
x=544, y=406..408
x=500, y=773..777
x=725, y=1735..1749
x=713, y=1115..1138
y=53, x=464..467
x=613, y=1621..1648
x=702, y=432..452
x=554, y=1305..1318
y=408, x=544..547
y=1623, x=774..781
y=1443, x=777..790
x=727, y=1160..1164
y=1139, x=480..499
x=626, y=1585..1611
x=543, y=629..638
y=1681, x=573..589
x=651, y=99..105
x=575, y=768..779
x=609, y=1164..1178
y=1058, x=716..723
x=692, y=1399..1416
y=1830, x=768..784
y=1247, x=690..693
x=562, y=1015..1031
y=1719, x=460..462
y=1810, x=529..544
x=647, y=56..76
x=662, y=94..120
x=466, y=1534..1541
y=633, x=512..525
x=684, y=221..240
y=171, x=474..559
x=500, y=198..225
x=474, y=888..897
y=159, x=729..739
y=1298, x=775..782
y=1111, x=751..757
y=19, x=493..495
x=660, y=592..603
x=557, y=1376..1383
x=677, y=1826..1845
y=1872, x=660..664
y=93, x=626..637
x=518, y=1623..1643
y=787, x=594..618
y=506, x=497..507
x=671, y=594..606
y=475, x=608..613
x=692, y=852..855
y=260, x=505..510
x=573, y=1700..1723
y=1216, x=642..645
x=722, y=348..365
y=510, x=478..487
y=417, x=670..694
y=753, x=590..597
y=928, x=708..724
x=497, y=495..506
x=579, y=1006..1020
y=1488, x=786..790
x=553, y=400..411
y=38, x=629..631
x=646, y=1447..1459
x=716, y=964..977
x=673, y=890..904
x=536, y=145..147
x=569, y=151..153
y=1273, x=717..721
y=1643, x=513..518
y=886, x=582..594
y=353, x=454..471
x=481, y=1083..1088
y=1670, x=578..580
x=664, y=893..895
x=606, y=1565..1593
x=737, y=1365..1392
y=727, x=498..511
x=639, y=1557..1562
x=530, y=1735..1745
x=629, y=1424..1434
x=609, y=1054..1065
x=476, y=82..85
y=1724, x=745..764
y=777, x=474..500
y=210, x=480..497
y=745, x=612..634
x=528, y=1680..1697
y=458, x=771..773
x=520, y=1882..1902
x=611, y=142..150
x=632, y=1184..1192
x=609, y=547..561
x=724, y=915..928
y=1341, x=735..751
x=717, y=495..514
x=463, y=18..23
x=661, y=1040..1052
x=707, y=1429..1441
x=589, y=1026..1045
x=480, y=201..210
x=608, y=162..171
x=607, y=1482..1495
x=505, y=257..260
x=602, y=1163..1178
x=647, y=936..944
x=560, y=616..623
x=670, y=633..646
x=551, y=1735..1745
x=506, y=1299..1301
x=751, y=1094..1111
x=774, y=1621..1623
x=461, y=1404..1410
x=747, y=1211..1227
y=1120, x=437..446
y=1454, x=663..666
y=533, x=731..745
x=771, y=1447..1454
x=608, y=142..150
x=755, y=270..298
y=822, x=626..632
x=512, y=1571..1592
x=535, y=1531..1535
x=618, y=364..371
y=90, x=517..536
x=755, y=205..214
x=684, y=555..557
x=684, y=761..770
x=727, y=1212..1227
x=612, y=1226..1230
y=325, x=604..609
x=472, y=270..277
y=41, x=621..637
x=571, y=510..514
x=623, y=618..622
x=579, y=278..282
x=577, y=1880..1906
x=570, y=113..116
x=603, y=117..124
x=749, y=1848..1850
x=483, y=425..432
y=1259, x=541..551
x=472, y=503..525
x=648, y=404..416
y=545, x=434..448
x=609, y=1881..1891
y=1679, x=716..718
x=633, y=1531..1533
x=442, y=604..612
y=40, x=729..741
x=457, y=431..439
x=591, y=1053..1065
y=898, x=506..534
x=483, y=1204..1210
x=605, y=502..515
x=687, y=746..748
x=638, y=1128..1141
x=663, y=1167..1177
x=685, y=699..708
y=967, x=735..748
x=721, y=1271..1273
y=585, x=686..692
y=1900, x=693..701
x=627, y=276..284
y=295, x=659..683
x=575, y=1253..1268
x=697, y=1434..1460
x=479, y=1886..1910
y=1378, x=706..730
y=1577, x=522..535
x=639, y=1061..1069
y=1803, x=492..499
y=1439, x=535..542
x=546, y=180..194
x=663, y=1454..1456
y=1567, x=630..647
x=536, y=78..90
x=776, y=345..358
x=468, y=1780..1807
x=488, y=1051..1072
x=446, y=124..147
y=1160, x=676..678
y=1764, x=461..472
y=1196, x=494..507
x=710, y=1037..1065
x=612, y=504..518
x=780, y=1908..1911
x=467, y=294..310
y=1624, x=445..461
x=635, y=915..929
x=497, y=1100..1103
x=461, y=960..967
x=577, y=1305..1318
x=659, y=1466..1468
y=237, x=532..541
y=242, x=626..646
y=1099, x=619..646
y=1846, x=590..612
y=1268, x=575..591
x=682, y=721..731
y=1069, x=639..641
y=1682, x=704..726
y=1048, x=608..631
x=573, y=720..741
y=1807, x=535..538
x=620, y=443..448
x=541, y=1342..1354
x=745, y=512..533
x=769, y=1195..1198
x=464, y=1105..1108
x=582, y=861..886
x=733, y=1651..1665
x=595, y=273..285
x=475, y=1488..1491
x=537, y=1739..1742
y=1415, x=620..638
y=770, x=684..687
x=765, y=654..672
x=746, y=1559..1580
x=640, y=33..34
x=607, y=1442..1451
x=458, y=50..62
x=496, y=555..561
x=580, y=1628..1644
x=683, y=978..990
y=291, x=434..457
y=129, x=556..576
x=457, y=125..147
x=754, y=1673..1682
y=1045, x=589..600
x=708, y=526..534
x=556, y=121..129
x=451, y=181..193
y=1312, x=564..570
y=729, x=751..769
x=665, y=1313..1327
x=588, y=1117..1119
x=445, y=960..967
x=599, y=906..923
y=595, x=755..759
x=731, y=200..211
x=589, y=296..310
x=759, y=585..595
y=244, x=440..553
x=580, y=1493..1499
x=464, y=53..58
x=465, y=411..416
y=1896, x=598..624
x=734, y=1797..1806
x=534, y=1581..1588
y=912, x=434..436
y=26, x=646..665
x=438, y=604..612
y=1032, x=649..672
