LLRRLRRRLLRLRRLLLLRLRRLRRRLRLRRRLLRRLRRRLLRRLRRLRRLLRRRLRRLRRLRRRLRRLRLRLRRLRRLRRRLLRRLLLRRLRRRLRRRLRRRLRRLRRRLRLLRLRRRLRLRRLLRLRRRLRRRLRLRRRLRRRLRLRLRRLRRLRLRRLLRRRLRRRLRRRLLRRRLRLRLRLRLLRRRLRRRLRRLRRRLLRLRRLRRLRRRLRRRLRRLRLRLRRRLRRLRRLRRRLLRRLRLRLRRRLRLRLRRLRRLLRRLRRRLLRLLRLRLRRRR

FGF = (HTC, DTX)
PTP = (MCL, BDN)
LHL = (LJF, BDX)
XMM = (KCX, JHL)
GLD = (RNN, MXG)
HSR = (JPX, CXF)
CRF = (BMJ, FHT)
QSS = (KPH, FVD)
RHV = (LRD, XDS)
KTT = (XPS, VCX)
LQK = (TLF, VJX)
MMK = (VJV, HQV)
RKX = (RKG, XJB)
HDM = (NFK, JNB)
PFJ = (QDJ, NDH)
JKB = (MDK, MRJ)
BSP = (QBQ, JPM)
FQH = (HJD, VHF)
QQL = (VDB, KGM)
TRB = (KTC, RGN)
VXC = (NDK, MVK)
BCS = (PSX, PLK)
FHK = (MLK, RDP)
TVB = (JXV, SSR)
GXD = (KSF, BRK)
MNJ = (MHG, CRF)
RLC = (TGD, CHV)
LBQ = (NQK, MHP)
JLH = (FGB, KNM)
PCN = (CQF, NDF)
FVP = (NKS, RCB)
GHL = (TTB, KLQ)
MTB = (VDM, FKT)
LLB = (VXL, TRT)
RSS = (GDP, TKD)
SFH = (FCM, GKF)
KSF = (VQB, JXJ)
LJH = (PNS, DGC)
TJC = (KQM, BVL)
PRL = (TCG, GCQ)
NBG = (GNR, SRM)
CST = (FXL, BDF)
XXH = (KVH, KSM)
FJP = (PKX, DSF)
DTS = (FFF, DQM)
CMG = (VBJ, DBF)
NHD = (TCJ, DHF)
KKF = (RVP, FVR)
LDS = (VPJ, MPN)
GHC = (DBK, SCS)
KVK = (NFV, MXJ)
NTN = (TDC, VNC)
FCR = (DCR, FQH)
PLK = (GHT, PBT)
VJF = (VJN, PVB)
TKR = (GHS, TTP)
PQJ = (VGB, SGP)
TGM = (JQM, PPK)
